input_id	dealiased_id	standard_id	short_id
doi:10.1146/annurev-vision-091517-034122	doi:10.1146/annurev-vision-091517-034122	doi:10.1146/annurev-vision-091517-034122	17CHDouTO
doi:10.1016/j.xops.2026.101378	doi:10.1016/j.xops.2026.101378	doi:10.1016/j.xops.2026.101378	pX18vuFZ
doi:10.1177/13872877261435137	doi:10.1177/13872877261435137	doi:10.1177/13872877261435137	BtKu9IYP
doi:10.1167/jov.25.7.8	doi:10.1167/jov.25.7.8	doi:10.1167/jov.25.7.8	6aaA7MT7
doi:10.3390/vision10020017	doi:10.3390/vision10020017	doi:10.3390/vision10020017	D50DD3jf
